prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,4788331979,4788331979,Carvela Women's Tote Bag Dark Brown Synthetic Maria Micro,https://www.shoeaholics.com/women/bags/maria-micro-fur-dark-brown-synthetic-carvela-4788331979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Maria Micro Fur """", No Size, Dark Brown","Womens Carvela Maria Micro Fur """", No Size, Dark Brown",79.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/7/4788331979.jpg?v=1&width=800,Women > Bags,Women > Bags,18/08/2026,,FALSE,,178,IN STOCK,,,Brown,,,447,TRUE,TRUE,TRUE
Steve Madden,6170030209,6170030209,Steve Madden Rhonda Ankle Boot Black,https://www.shoeaholics.com/women/shoes/boots/ankle/rhonda-205-brown-suede-steve-madden-6170030209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Rhonda Ankle Boot Black """", 4 Uk, Brown","Womens Steve Madden Rhonda Ankle Boot Black """", 4 Uk, Brown",79.00,140.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/1/6170030209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,18/08/2026,,FALSE,,14,IN STOCK,,,Brown,,,1795,TRUE,TRUE,TRUE
Kurt Geiger London,4985800419,4985800419,Kurt Geiger Women's Black Leather Mini Eagle,https://www.shoeaholics.com/women/shoes/boots/ankle/mini-eagle-ankle-boot-black-croc-print-leather-kurt-geiger-london-4985800419?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Mini Eagle Ankle Boot """", 3 Uk, Black","Womens Kurt Geiger London Mini Eagle Ankle Boot """", 3 Uk, Black",79.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4985800419.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,18/08/2026,,FALSE,,73,IN STOCK,,,Black,,,922,TRUE,TRUE,TRUE
Carvela,5325700209,5325700209,Carvela Women's Boots Black Suede Fia,https://www.shoeaholics.com/women/shoes/boots/ankle/fia-bootie-black-suede-carvela-5325700209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Fia Bootie """", 9 Uk, Black","Womens Carvela Fia Bootie """", 9 Uk, Black",39.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/3/5325700209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,18/08/2026,,FALSE,,8,IN STOCK,,,Black,,,2034,TRUE,TRUE,TRUE
Kg Kurt Geiger,2580500069,2580500069,KG Kurt Geiger Women's Heels Black Synthetic Fleur Bling,https://www.shoeaholics.com/women/shoes/heels/high-heels/fleur-bling-black-fabric-other-kg-kurt-geiger-2580500069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Crystal Block Heel, Black","Black Crystal Block Heel, Black",79.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/5/2580500069.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,18/08/2026,,FALSE,,32,IN STOCK,,,Black,,,1323,TRUE,TRUE,TRUE
Steve Madden,6181130019,6181130019,Steve Madden Spur Boot Brown,https://www.shoeaholics.com/women/shoes/boots/spur-003-brown-leather-other-steve-madden-6181130019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Spur Boot Brown """", 6 Uk, Brown","Womens Steve Madden Spur Boot Brown """", 6 Uk, Brown",119.00,240.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/1/6181130019.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,18/08/2026,,FALSE,,24,IN STOCK,,,Brown,,,1483,TRUE,TRUE,TRUE
Steve Madden,5864350109,5864350109,Steve Madden Edna Red,https://www.shoeaholics.com/women/shoes/sandals/edna-8rl-red-leather-steve-madden-5864350109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Edna Red """", 5 Uk, Red","Womens Steve Madden Edna Red """", 5 Uk, Red",130.00,130.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5864350109.jpg?v=1&width=800,Women > Shoes > Sandals,Women > Shoes > Sandals,18/08/2026,,FALSE,,7,IN STOCK,,,Red,,,2094,TRUE,TRUE,FALSE
Steve Madden,5960682759,5960682759,Steve Madden Abbi Green Satin,https://www.shoeaholics.com/women/shoes/trainers/abbi-s-msa-mid-blue-satin-steve-madden-5960682759?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Abbi Green Satin """", 6 Uk, Mid Blue","Womens Steve Madden Abbi Green Satin """", 6 Uk, Mid Blue",39.00,100.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5960682759.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,18/08/2026,,FALSE,,10,IN STOCK,,,Blue,,,1938,TRUE,TRUE,TRUE
Carvela,5337370309,5337370309,Carvela Women's Boots Green Synthetic Strut,https://www.shoeaholics.com/women/shoes/boots/ankle/strut-ankle-green-patent-carvela-5337370309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Strut Ankle Boot """", 9 Uk, Green","Womens Carvela Strut Ankle Boot """", 9 Uk, Green",39.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/3/5337370309.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,18/08/2026,,FALSE,,19,IN STOCK,,,Green,,,1613,TRUE,TRUE,TRUE
Kurt Geiger London,5997685669,5997685669,Kurt Geiger Women's Heels Blue Dark Combination Kingsley,https://www.shoeaholics.com/women/shoes/heels/high-heels/kingsley-platform-blue-dark-combination-denim-kurt-geiger-london-5997685669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Dark Blue Denim Platform Heel, Blue Dark Combination","Dark Blue Denim Platform Heel, Blue Dark Combination",139.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5997685669.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,18/08/2026,,FALSE,,24,IN STOCK,,,Blue,,,1484,TRUE,TRUE,TRUE
