id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
5063755083563,MCDPJ221,Hawes & Curtis Silver Dive Watch Cufflinks,http://www.hawesandcurtis.co.uk/silver-dive-watch-round-cufflinks-mcdpj221-m01,https://handcmediastorage.blob.core.windows.net/productimages/MC/MCDPJ221-M01-208000-1400px-1820px.jpg,39.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755185441,TIDDK308,Hawes & Curtis Navy Square Medallion 1913 Tie,http://www.hawesandcurtis.co.uk/navy-square-medallion-1913-tie-tiddk308-g01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDK308-G01-213317-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755185458,TIDDK309,Hawes & Curtis Navy Round Medallion 1913 Tie,http://www.hawesandcurtis.co.uk/navy-round-medallion-1913-tie-tiddk309-g01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDK309-G01-213320-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755185427,TIDDK307,Hawes & Curtis Silver Medallion 1913 Tie,http://www.hawesandcurtis.co.uk/silver-medallion-1913-tie-tiddk307-m01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDK307-M01-213383-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755210570,OEPAK334,Hawes & Curtis Taupe Driving Shoe,http://www.hawesandcurtis.co.uk/taupe-driving-shoe-oepak334-c50,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPAK334-C50-215941-1400px-1820px.jpg,139.00 GBP,99.00 GBP,in stock,Footwear,TRUE,TRUE
5063755167768,HADMK321,Hawes & Curtis Forest Green Spotted Pocket Square,http://www.hawesandcurtis.co.uk/forest-green-spotted-pocket-square-hadmk321-e76,https://handcmediastorage.blob.core.windows.net/productimages/HA/HADMK321-E76-211801-1400px-1820px.jpg,29.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755261404,HHPDK004,Hawes & Curtis Navy Linen Baker Boy Hat,http://www.hawesandcurtis.co.uk/navy-linen-baker-boy-hat-hhpdk004-g01,https://handcmediastorage.blob.core.windows.net/productimages/HH/HHPDK004-G01-215930-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755026331,TIDRJ976,Hawes & Curtis Ivory Medallion 1913 Tie,http://www.hawesandcurtis.co.uk/ivory-medallion-1913-tie-tidrj976-h70,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDRJ976-H70-209863-1400px-1820px.jpg,49.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755015984,OEPCJ303,Hawes & Curtis Caramel Chukka Boots,http://www.hawesandcurtis.co.uk/caramel-chukka-boots-oepcj303-c72,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCJ303-C72-209345-1400px-1820px.jpg,169.00 GBP,139.00 GBP,in stock,Footwear,TRUE,TRUE
5063755210495,OEPAK333,Hawes & Curtis Black Driving Shoe,http://www.hawesandcurtis.co.uk/black-driving-shoe-oepak333-a01,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPAK333-A01-215916-1400px-1820px.jpg,139.00 GBP,99.00 GBP,in stock,Footwear,TRUE,TRUE
5059090857860,HADMA007,Hawes & Curtis  Men's Navy Jacquard Paisley Pocket Square - 100% Silk,http://www.hawesandcurtis.co.uk/mens-navy-jacquard-paisley-pocket-square-100percent-silk-hadma007-g01,https://handcmediastorage.blob.core.windows.net/productimages/HA/HADMA007-G01-167155-1400px-1820px.jpg,25.00 GBP,5.00 GBP,in stock,Accessories,TRUE,TRUE
5063755018459,OEPCA298,Hawes & Curtis Chocolate Brown Derby Lace Up Shoe,http://www.hawesandcurtis.co.uk/chocolate-brown-derby-lace-up-shoe-oepca298-c30,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA298-C30-209386-1400px-1820px.jpg,169.00 GBP,119.00 GBP,in stock,Footwear,TRUE,TRUE
5063056968989,BEPII008,Hawes & Curtis Tan Belt,http://www.hawesandcurtis.co.uk/tan-contemporary-formal-leather-belt-bepii008-z03,https://handcmediastorage.blob.core.windows.net/productimages/BE/BEPII008-Z03-200560-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755026003,TIDDJ963,Hawes & Curtis Silver Geo Textured 1913 Tie,http://www.hawesandcurtis.co.uk/silver-geo-textured-1913-tie-tiddj963-m01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDJ963-M01-205938-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755198878,TIDBK316,Hawes & Curtis Champagne Ticking Stripe 1913 Tie,http://www.hawesandcurtis.co.uk/champagne-ticking-stripe-1913-tie-tidbk316-h31,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDBK316-H31-212880-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755198922,TIDBJ956,Hawes & Curtis Mint Geometric 1913 Tie,http://www.hawesandcurtis.co.uk/mint-geometric-1913-tie-tidbj956-e70,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDBJ956-E70-212892-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755198939,TIDBI899,Hawes & Curtis Navy & Green Medallion Geo 1913 Tie,http://www.hawesandcurtis.co.uk/navy-and-green-medallion-geo-1913-tie-tidbi899-g07,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDBI899-G07-212896-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5059090004974,BTDSA201,Hawes & Curtis Light Pink Jacquard Paisley Silk Bow Tie - Ready Tied,http://www.hawesandcurtis.co.uk/mens-light-pink-paisley-ready-tied-bow-tie-100percent-silk-btdsa201-j30,https://handcmediastorage.blob.core.windows.net/productimages/BT/BTDSA201-J30-207596-1400px-1820px.jpg,35.00 GBP,5.00 GBP,in stock,Accessories,TRUE,TRUE
5063755210655,TIDBK317,Hawes & Curtis Champagne Irregular Oval 1913 Tie,http://www.hawesandcurtis.co.uk/champagne-irregular-oval-1913-tie-tidbk317-c50,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDBK317-C50-212898-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755185403,TIDDK306,Hawes & Curtis Charcoal Irregular Rectangle 1913 Tie,http://www.hawesandcurtis.co.uk/charcoal-irregular-rectangle-1913-tie-tiddk306-f30,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDK306-F30-213311-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755022548,MGPGJ605,Hawes & Curtis Taupe Knitted 1913 Gloves,http://www.hawesandcurtis.co.uk/taupe-knitted-1913-gloves-mgpgj605-c50,https://handcmediastorage.blob.core.windows.net/productimages/MG/MGPGJ605-C50-208308-1400px-1820px.jpg,49.00 GBP,25.00 GBP,in stock,Accessories,TRUE,TRUE
5063755185472,TIDDK311,Hawes & Curtis Blue Jacquard Floral 1913 Tie,http://www.hawesandcurtis.co.uk/blue-jacquard-floral-1913-tie-tiddk311-b01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDDK311-B01-213324-1400px-1820px.jpg,59.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063056817553,BTDMA005,Hawes & Curtis White Jacquard Paisley Silk Bow Tie - Ready Tied,http://www.hawesandcurtis.co.uk/white-jacquard-paisley-silk-bow-tie-ready-tied-btdma005-n01,https://handcmediastorage.blob.core.windows.net/productimages/BT/BTDMA005-N01-202309-1400px-1820px.jpg,35.00 GBP,5.00 GBP,in stock,Accessories,TRUE,TRUE
5063056817683,BTPMA013,Hawes & Curtis Off White Spun Silk Large Bow Tie - Ready Tied,http://www.hawesandcurtis.co.uk/off-white-spun-silk-large-bow-tie-ready-tied-btpma013-n33,https://handcmediastorage.blob.core.windows.net/productimages/BT/BTPMA013-N33-200531-1400px-1820px.jpg,29.00 GBP,5.00 GBP,in stock,Accessories,TRUE,TRUE
