prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kg Kurt Geiger,6320961069,6320961069,6320961069,KG Kurt Geiger Women's Heels Gold Fabric Other Autumn,https://www.shoeaholics.com/women/shoes/heels/kitten-heels/autumn-mule-gold-fabric-other-kg-kurt-geiger-6320961069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Autumn Mule Heel """", 5 Uk, Gold","Womens Kg Kurt Geiger Autumn Mule Heel """", 5 Uk, Gold",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6320961069.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,10/09/2026,,FALSE,,168,IN STOCK,,,Metallic,,,62,TRUE,TRUE,TRUE
Steve Madden,5804647759,5804647759,5804647759,Steve Madden Gabby Taupe,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/gabby-tus-taupe-satin-steve-madden-5804647759?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Gabby Taupe """", 6 Uk, Taupe","Womens Steve Madden Gabby Taupe """", 6 Uk, Taupe",39.00,130.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5804647759.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,14,IN STOCK,,,Taupe,,,255,TRUE,TRUE,TRUE
Kg Kurt Geiger,5686666829,5686666829,5686666829,KG Kurt Geiger Women's Heels Gold Combination Swift,https://www.shoeaholics.com/women/shoes/heels/block-heels/swift-gold-combination-polyurethane-kg-kurt-geiger-5686666829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Metallic Gold Block Heel, Gold Combination","Metallic Gold Block Heel, Gold Combination",49.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/6/5686666829.jpg?v=1&width=800,Women > Shoes > Heels > Block-heels,Women > Shoes > Heels > Block-heels,10/09/2026,,FALSE,,12,IN STOCK,,,Metallic,,,262,TRUE,TRUE,TRUE
Kurt Geiger London,5382905209,5382905209,5382905209,Kurt Geiger Women's Heels Black Suede Combination Kurt,https://www.shoeaholics.com/women/shoes/heels/high-heels/kurt-crystal-point-black-combination-suede-kurt-geiger-london-5382905209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Kurt Crystal Point Heel """", 5 Uk, Black","Womens Kurt Geiger London Kurt Crystal Point Heel """", 5 Uk, Black",69.00,219.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/3/5382905209.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,9,IN STOCK,,,Black,,,278,TRUE,TRUE,TRUE
Kg Kurt Geiger,6298454789,6298454789,6298454789,Kg Kurt Geiger Tilly Velvet Bow,https://www.shoeaholics.com/women/shoes/heels/slingbacks/tilly-velvet-bow-wine-velvet-kg-kurt-geiger-6298454789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Tilly Velvet Bow """", 3 Uk, Wine","Womens Kg Kurt Geiger Tilly Velvet Bow """", 3 Uk, Wine",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6298454789.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,10/09/2026,,FALSE,,198,IN STOCK,,,Red,,,36,TRUE,TRUE,TRUE
Carvela,5591463979,5591463979,5591463979,Carvela Women's Heel Silver Synthetic Positano,https://www.shoeaholics.com/women/shoes/heels/high-heels/positano-vinyl-sandal-silver-synthetic-carvela-5591463979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crystal Silver High Heels, Silver","Crystal Silver High Heels, Silver",49.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/5/5591463979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,7,IN STOCK,,,Metallic,,,300,TRUE,TRUE,TRUE
Carvela,5590091979,5590091979,5590091979,Carvela Marina High Tie Heel Orange Tie Up Heel,https://www.shoeaholics.com/women/shoes/heels/high-heels/marina-high-tie-orange-synthetic-carvela-5590091979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Orange Tie Up Heel, Orange","Orange Tie Up Heel, Orange",49.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/5/5590091979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,38,IN STOCK,,,Orange,,,179,TRUE,TRUE,TRUE
Carvela,5769010609,5769010609,5769010609,Carvela Wide Fit Gala Block Heel White Pearl Block Heel,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/gala-block-jewel-wide-fit-white-fabric-carvela-5769010609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Pearl Block Heel, White","White Pearl Block Heel, White",119.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5769010609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,29,IN STOCK,,,White,,,204,TRUE,TRUE,TRUE
Kurt Geiger London,5501800609,5501800609,5501800609,Kurt Geiger London Embellished Mule Heel,https://www.shoeaholics.com/women/shoes/heels/high-heels/kgl-embellished-mule-black-fabric-kurt-geiger-london-5501800609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Embellished Mule Heel """", 6 Uk, Black","Womens Kurt Geiger London Embellished Mule Heel """", 6 Uk, Black",99.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/5/5501800609.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,114,IN STOCK,,,Black,,,108,TRUE,TRUE,TRUE
Carvela,5938647209,5938647209,5938647209,Carvela Women's Wide Fit Heel Taupe Suede Corletta,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/corletta-sandal-wide-fit-taupe-suede-carvela-5938647209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Taupe Suede High Heel, Taupe","Taupe Suede High Heel, Taupe",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5938647209.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,96,IN STOCK,,,Taupe,,,115,TRUE,TRUE,TRUE
