prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5743961979,5743961979,Carvela Women's Clutch Bag Gold Synthetic Maria Envelope,https://www.shoeaholics.com/women/bags/clutch-bags/maria-envelope-clutch-gold-synthetic-carvela-5743961979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Metallic Gold Clutch Bag, Gold","Metallic Gold Clutch Bag, Gold",69.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5743961979.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,01/09/2026,,FALSE,,262,IN STOCK,,,Metallic,,,193,TRUE,TRUE,TRUE
Carvela,6288810979,6288810979,Carvela Women's Trainer's White Synthetic Daniella,https://www.shoeaholics.com/women/shoes/trainers/daniella-zip-weave-white-synthetic-carvela-6288810979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Lace Up Trainer, White","White Lace Up Trainer, White",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6288810979.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,341,IN STOCK,,,White,,,98,TRUE,TRUE,TRUE
Kg Kurt Geiger,5712030799,5712030799,KG Kurt Geiger Women's Trainers Brown Suedette Lorelei,https://www.shoeaholics.com/women/shoes/trainers/lorelei-brown-suedette-kg-kurt-geiger-5712030799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suedette Lace Up Sneaker, Brown","Brown Suedette Lace Up Sneaker, Brown",69.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5712030799.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,92,IN STOCK,,,Brown,,,749,TRUE,TRUE,TRUE
Carvela,5745300979,5745300979,Carvela Women's Purse Black Synthetic Multi Compartment,https://www.shoeaholics.com/women/bags/multi-compartment-purse-black-synthetic-carvela-5745300979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Pebble Grain Wallet, Black","Black Pebble Grain Wallet, Black",29.00,49.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5745300979.jpg?v=1&width=800,Women > Bags,Women > Bags,01/09/2026,,FALSE,,280,IN STOCK,,,Black,,,168,TRUE,TRUE,TRUE
Carvela,3815031979,3815031979,Carvela Women's Ankle Boot Dark Brown Synthetic Jackpot,https://www.shoeaholics.com/women/shoes/boots/ankle/jackpot-ankle-dark-brown-synthetic-carvela-3815031979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Dark Brown Ankle Boot, Dark Brown","Dark Brown Ankle Boot, Dark Brown",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3815031979.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,01/09/2026,,FALSE,,122,IN STOCK,,,Brown,,,630,TRUE,TRUE,TRUE
Carvela,3815000979,3815000979,Carvela Women's Ankle Boot Black Synthetic Jackpot,https://www.shoeaholics.com/women/shoes/boots/ankle/jackpot-ankle-black-synthetic-carvela-3815000979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Heeled Ankle Boot, Black","Black Heeled Ankle Boot, Black",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3815000979.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,01/09/2026,,FALSE,,384,IN STOCK,,,Black,,,72,TRUE,TRUE,TRUE
Carvela,3809830609,3809830609,Carvela Women's Boots Brown Fabric Synthetic Cosy,https://www.shoeaholics.com/women/shoes/boots/ankle/cosy-ankle-brown-fabric-carvela-3809830609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Fabric Ankle Boot, Brown","Brown Fabric Ankle Boot, Brown",109.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3809830609.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,327,IN STOCK,,,Brown,,,109,TRUE,TRUE,TRUE
Kg Kurt Geiger,3845500829,3845500829,KG Kurt Geiger Women's Trainers Black Synthetic Lottie,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lottie-lace-up-black-polyurethane-kg-kurt-geiger-3845500829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Chunky Lace Up Sneaker, Black","Black Chunky Lace Up Sneaker, Black",59.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3845500829.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,175,IN STOCK,,,Black,,,421,TRUE,TRUE,TRUE
Carvela,3828415979,3828415979,Carvela Women's White Combination Synthetic Diamond,https://www.shoeaholics.com/women/shoes/trainers/slip-on/diamond-zip-white-comb-synthetic-carvela-3828415979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Snake Zip Up Trainer, White Comb","White Snake Zip Up Trainer, White Comb",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3828415979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,180,IN STOCK,,,White,,,403,TRUE,TRUE,TRUE
Carvela,9993332109,9993332109,Carvela Women's Flats Brown Suede Leather Snap,https://www.shoeaholics.com/women/shoes/flats/snap-mid-brown-leather-carvela-9993332109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suede Leather Snap, Mid Brown","Brown Suede Leather Snap, Mid Brown",79.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/9/9/9993332109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,181,IN STOCK,,,Brown,,,401,TRUE,TRUE,TRUE
