prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kg Kurt Geiger,6365600979,6365600979,Kg Kurt Geiger Twist Ankle Boot Black Leather Alternative Boot,https://www.shoeaholics.com/women/shoes/boots/ankle/twist-ankle-black-synthetic-kg-kurt-geiger-6365600979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Alternative Boot, Black","Black Leather Alternative Boot, Black",109.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6365600979.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,423,IN STOCK,,,Black,,,56,TRUE,TRUE,TRUE
Steve Madden,5809021979,5809021979,Steve Madden Tracie Jelly Grey,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/tracie-j-095-grey-dark-synthetic-steve-madden-5809021979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Tracie Jelly Grey """", 6 Uk, Grey Dark","Womens Steve Madden Tracie Jelly Grey """", 6 Uk, Grey Dark",59.00,100.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5809021979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,01/09/2026,,FALSE,,47,IN STOCK,,,Grey,,,1034,TRUE,TRUE,TRUE
Kurt Geiger London,6280739609,6280739609,Kurt Geiger Women's Sandals Brown Other Fabric Brixton,https://www.shoeaholics.com/women/shoes/sandals/brixton-flat-sandal-brown-other-fabric-kurt-geiger-london-6280739609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Brixton Flat Sandal """", 5 Uk","Womens Kurt Geiger London Brixton Flat Sandal """", 5 Uk",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6280739609.jpg?v=1&width=800,Women > Shoes > Sandals,Women > Shoes > Sandals,01/09/2026,,FALSE,,178,IN STOCK,,,,,,412,TRUE,TRUE,TRUE
Kg Kurt Geiger,5712410109,5712410109,KG Kurt Geiger Women's Trainers White Leather Lou,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lou-white-leather-kg-kurt-geiger-5712410109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suede Leather Lou Sneaker, White","Brown Suede Leather Lou Sneaker, White",99.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5712410109.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,44,IN STOCK,,,White,,,1065,TRUE,TRUE,TRUE
Kurt Geiger London,6280766609,6280766609,Kurt Geiger Women's Sandals Gold Combination Fabric Brixton,https://www.shoeaholics.com/women/shoes/sandals/brixton-flat-sandal-gold-combination-fabric-kurt-geiger-london-6280766609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Brixton Flat Sandal """", 6 Uk, Gold Combination","Womens Kurt Geiger London Brixton Flat Sandal """", 6 Uk, Gold Combination",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6280766609.jpg?v=1&width=800,Women > Shoes > Sandals,Women > Shoes > Sandals,01/09/2026,,FALSE,,92,IN STOCK,,,Metallic,,,751,TRUE,TRUE,TRUE
Carvela,5708224609,5708224609,Carvela Women's Court Heel Blush Fabric Lovebird,https://www.shoeaholics.com/women/shoes/heels/high-heels/lovebird-mesh-blush-fabric-carvela-5708224609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Lovebird Mesh Heel """", 5 Uk, Blush","Womens Carvela Lovebird Mesh Heel """", 5 Uk, Blush",79.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5708224609.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,181,IN STOCK,,,Blush,,,402,TRUE,TRUE,TRUE
Carvela,5327154979,5327154979,Carvela Women's Heel Wine Synthetic Blanca,https://www.shoeaholics.com/women/shoes/heels/high-heels/blanca-slingback-wine-synthetic-carvela-5327154979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Wine Slingback Heel, Wine","Wine Slingback Heel, Wine",79.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/3/5327154979.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,195,IN STOCK,,,Red,,,350,TRUE,TRUE,TRUE
Kg Kurt Geiger,6297300309,6297300309,Kg Kurt Geiger Mila Loafer,https://www.shoeaholics.com/women/shoes/flats/mila-black-patent-kg-kurt-geiger-6297300309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Mila Loafer """", 9 Uk, Black","Womens Kg Kurt Geiger Mila Loafer """", 9 Uk, Black",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6297300309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,260,IN STOCK,,,Black,,,199,TRUE,TRUE,TRUE
Carvela,5708230609,5708230609,Carvela Women's Heels Brown Fabric Lovebird Mesh,https://www.shoeaholics.com/women/shoes/heels/high-heels/lovebird-mesh-brown-fabric-carvela-5708230609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Lovebird Mesh Heel """", 7 Uk, Brown","Womens Carvela Lovebird Mesh Heel """", 7 Uk, Brown",79.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5708230609.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,130,IN STOCK,,,Brown,,,592,TRUE,TRUE,TRUE
Kurt Geiger London,5754939029,5754939029,Kurt Geiger Women's Brown Other Suede Sporty,https://www.shoeaholics.com/women/shoes/trainers/slip-on/sporty-runner-brown-other-suede-other-kurt-geiger-london-5754939029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Brown Canvas Runner Sneaker,Brown Canvas Runner Sneaker,49.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5754939029.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,6,IN STOCK,,,,,,1901,TRUE,TRUE,TRUE
Kg Kurt Geiger,6297400799,6297400799,KG Kurt Geiger Women's Flats Black Suedette Muse,https://www.shoeaholics.com/women/shoes/flats/muse-black-suedette-kg-kurt-geiger-6297400799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Bow Slip On Loafer, Black","Black Microsuede Bow Slip On Loafer, Black",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6297400799.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,255,IN STOCK,,,Black,,,207,TRUE,TRUE,TRUE
Carvela,6343510979,6343510979,Carvela Women's Clutch Bag White Synthetic Amalia,https://www.shoeaholics.com/women/bags/clutch-bags/amalia-clutch-white-synthetic-carvela-6343510979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Amalia Clutch Bag """", No Size, White","Womens Carvela Amalia Clutch Bag """", No Size, White",69.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6343510979.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,01/09/2026,,FALSE,,111,IN STOCK,,,White,,,677,TRUE,TRUE,TRUE
Carvela,6030163609,6030163609,Carvela Women's Heels Silver Fabric Loopi,https://www.shoeaholics.com/women/shoes/heels/loopi-sandal-silver-fabric-carvela-6030163609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Silver Crystal Heels, Silver","Silver Crystal Heels, Silver",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/0/6030163609.jpg?v=1&width=800,Women > Shoes > Heels,Women > Shoes > Heels,01/09/2026,,FALSE,,87,IN STOCK,,,Metallic,,,784,TRUE,TRUE,TRUE
Kg Kurt Geiger,6321561069,6321561069,KG Kurt Geiger Women's Heels Gold Fabric Other Autumn,https://www.shoeaholics.com/women/shoes/heels/slingbacks/autumn-d-orsay-gold-fabric-other-kg-kurt-geiger-6321561069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Autumn D Orsay """", 5 Uk, Gold","Womens Kg Kurt Geiger Autumn D Orsay """", 5 Uk, Gold",99.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6321561069.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,01/09/2026,,FALSE,,380,IN STOCK,,,Metallic,,,75,TRUE,TRUE,TRUE
Carvela,6295905979,6295905979,Carvela Women's Trainer Black Combination Gia Zip,https://www.shoeaholics.com/women/shoes/trainers/gia-zip-black-combination-synthetic-carvela-6295905979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Gia Zip """", 6 Uk, Black","Womens Carvela Gia Zip """", 6 Uk, Black",99.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6295905979.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,426,IN STOCK,,,Black,,,55,TRUE,TRUE,TRUE
Steve Madden,5866400109,5866400109,Steve Madden Taliya Black,https://www.shoeaholics.com/women/shoes/sandals/wedges/taliya-17-black-leather-steve-madden-5866400109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Taliya Black """", 7 Uk, Black","Womens Steve Madden Taliya Black """", 7 Uk, Black",29.00,140.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5866400109.jpg?v=1&width=800,Women > Shoes > Sandals > Wedges,Women > Shoes > Sandals > Wedges,01/09/2026,,FALSE,,9,IN STOCK,,,Black,,,1757,TRUE,TRUE,TRUE
Kurt Geiger London,6244939609,6244939609,Kurt Geiger Women's Cross Body Bag Brown Other Fabric Soho,https://www.shoeaholics.com/women/bags/cross-body-bags/fabric-mini-soho-brown-other-fabric-kurt-geiger-london-6244939609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Fabric Mini Soho """", No Size","Womens Kurt Geiger London Fabric Mini Soho """", No Size",119.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6244939609.jpg?v=1&width=800,Women > Bags > Cross-body-bags,Women > Bags > Cross-body-bags,01/09/2026,,FALSE,,241,IN STOCK,,,,,,252,TRUE,TRUE,TRUE
Kurt Geiger London,6310000109,6310000109,Kurt Geiger London Kingsley Chelsea Boot,https://www.shoeaholics.com/women/shoes/boots/ankle/kingsley-chelsea-boot-black-leather-kurt-geiger-london-6310000109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Kingsley Chelsea Boot """", 6 Uk, Black","Womens Kurt Geiger London Kingsley Chelsea Boot """", 6 Uk, Black",139.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6310000109.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,116,IN STOCK,,,Black,,,657,TRUE,TRUE,TRUE
Kg Kurt Geiger,6320861069,6320861069,KG Kurt Geiger Women's Heels Gold Fabric Other Tilly Jewel,https://www.shoeaholics.com/women/shoes/heels/slingbacks/tilly-jewel-bow-gold-fabric-other-kg-kurt-geiger-6320861069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Tilly Jewel Bow Heel """", 5 Uk, Gold","Womens Kg Kurt Geiger Tilly Jewel Bow Heel """", 5 Uk, Gold",99.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6320861069.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,01/09/2026,,FALSE,,238,IN STOCK,,,Metallic,,,258,TRUE,TRUE,TRUE
Carvela,5769710979,5769710979,Carvela Petalo Envelope Clutch,https://www.shoeaholics.com/women/bags/clutch-bags/petalo-envelope-clutch-white-synthetic-carvela-5769710979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Petalo Envelope Clutch """", No Size, White","Womens Carvela Petalo Envelope Clutch """", No Size, White",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5769710979.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,01/09/2026,,FALSE,,139,IN STOCK,,,White,,,547,TRUE,TRUE,TRUE
Carvela,5933831209,5933831209,Carvela Women's Trainers Dark Brown Suede Tivoli,https://www.shoeaholics.com/women/shoes/trainers/tivoli-sneaker-dark-brown-suede-carvela-5933831209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Dark Brown Suede Leather Trainer, Dark Brown","Dark Brown Suede Leather Trainer, Dark Brown",49.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5933831209.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,48,IN STOCK,,,Brown,,,1020,TRUE,TRUE,TRUE
Kurt Geiger London,6244969609,6244969609,Kurt Geiger London Fabric Mini Soho,https://www.shoeaholics.com/women/bags/cross-body-bags/fabric-mini-soho-multi-other-fabric-kurt-geiger-london-6244969609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Fabric Mini Soho """", No Size","Womens Kurt Geiger London Fabric Mini Soho """", No Size",109.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6244969609.jpg?v=1&width=800,Women > Bags > Cross-body-bags,Women > Bags > Cross-body-bags,01/09/2026,,FALSE,,178,IN STOCK,,,,,,413,TRUE,TRUE,TRUE
Kurt Geiger London,6308754139,6308754139,Kurt Geiger Women's Heels Wine Leather Patent Soho,https://www.shoeaholics.com/women/shoes/heels/slingbacks/soho-sling-wine-leather-patent-kurt-geiger-london-6308754139?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Soho Sling """", 6 Uk, Wine","Womens Kurt Geiger London Soho Sling """", 6 Uk, Wine",119.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6308754139.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,01/09/2026,,FALSE,,50,IN STOCK,,,Red,,,994,TRUE,TRUE,TRUE
Kg Kurt Geiger,6297200309,6297200309,Kg Kurt Geiger Maple Bow Loafer Black Patent Slip On Loafer,https://www.shoeaholics.com/women/shoes/flats/maple-bow-black-patent-kg-kurt-geiger-6297200309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Patent Slip On Loafer, Black","Black Patent Slip On Loafer, Black",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6297200309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,01/09/2026,,FALSE,,260,IN STOCK,,,Black,,,200,TRUE,TRUE,TRUE
Carvela,5754261979,5754261979,Carvela Women's Trainer Bronze Synthetic Angelina,https://www.shoeaholics.com/women/shoes/trainers/slip-on/angelina-gold-synthetic-carvela-5754261979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Metallic Gold Lace Up Trainer, Gold","Metallic Gold Lace Up Trainer, Gold",59.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5754261979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,359,IN STOCK,,,Metallic,,,90,TRUE,TRUE,TRUE
Carvela,6343531799,6343531799,Carvela Women's Clutch Bag Dark Brown Suedette Amalia,https://www.shoeaholics.com/women/bags/clutch-bags/amalia-clutch-dark-brown-suedette-carvela-6343531799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Amalia Clutch """", No Size, Dark Brown","Womens Carvela Amalia Clutch """", No Size, Dark Brown",69.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6343531799.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,01/09/2026,,FALSE,,133,IN STOCK,,,Brown,,,574,TRUE,TRUE,TRUE
Carvela,5724566609,5724566609,Carvela Women's Heels Gold Combination Fabric Sorano,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sorano-wedge-gold-combination-fabric-carvela-5724566609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Sorano Wedge Heel """", 9 Uk, Gold Combination","Womens Carvela Sorano Wedge Heel """", 9 Uk, Gold Combination",99.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5724566609.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,01/09/2026,,FALSE,,85,IN STOCK,,,Metallic,,,797,TRUE,TRUE,TRUE
Kg Kurt Geiger,6364161979,6364161979,Kg Kurt Geiger Signal Platform,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/signal-platform-gold-synthetic-kg-kurt-geiger-6364161979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Signal Platform """", 9 Uk, Gold","Womens Kg Kurt Geiger Signal Platform """", 9 Uk, Gold",99.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6364161979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,01/09/2026,,FALSE,,120,IN STOCK,,,Metallic,,,640,TRUE,TRUE,TRUE
Kurt Geiger London,5764100109,5764100109,Kurt Geiger Women's Shoulder Bag Black Leather Carnaby,https://www.shoeaholics.com/women/bags/shoulder-bags/carnaby-lg-winged-tote-black-leather-kurt-geiger-london-5764100109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Shoulder Bag, Black","Black Leather Shoulder Bag, Black",169.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5764100109.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,01/09/2026,,FALSE,,77,IN STOCK,,,Black,,,832,TRUE,TRUE,TRUE
Kurt Geiger London,5965684339,5965684339,Kurt Geiger Women's Trainers Navy Canvas Kurt Espadrille,https://www.shoeaholics.com/women/shoes/trainers/kurt-espadrille-navy-canvas-kurt-geiger-london-5965684339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Navy Canvas Espadrille Trainer, Navy","Navy Canvas Espadrille Trainer, Navy",79.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5965684339.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,01/09/2026,,FALSE,,72,IN STOCK,,,Blue,,,859,TRUE,TRUE,TRUE
Carvela,5944700209,5944700209,Carvela Women's Heels Black Suede Letizia Mule,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/letizia-mule-black-suede-carvela-5944700209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Suede Mule Heel, Black","Black Suede Mule Heel, Black",69.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5944700209.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,01/09/2026,,FALSE,,35,IN STOCK,,,Black,,,1159,TRUE,TRUE,TRUE
Kg Kurt Geiger,5733815069,5733815069,KG Kurt Geiger women's Flats White Combination Noma,https://www.shoeaholics.com/women/shoes/flats/noma-white-comb-fabric-other-kg-kurt-geiger-5733815069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Taupe Raffia Ballet Flat, White Comb","Taupe Raffia Ballet Flat, White Comb",49.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5733815069.jpg?v=1&width=800,Clothing & Accessories > Shoes,Clothing & Accessories > Shoes,01/09/2026,,FALSE,,37,IN STOCK,,,White,,,1136,TRUE,TRUE,TRUE
Kurt Geiger London,5501861609,5501861609,Kurt Geiger London Embellished Mule Heel,https://www.shoeaholics.com/women/shoes/heels/high-heels/kgl-embellished-mule-gold-fabric-kurt-geiger-london-5501861609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Embellished Mule Heel """", 6 Uk, Gold","Womens Kurt Geiger London Embellished Mule Heel """", 6 Uk, Gold",99.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/5/5501861609.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,01/09/2026,,FALSE,,82,IN STOCK,,,Metallic,,,806,TRUE,TRUE,TRUE
Kg Kurt Geiger,6321630799,6321630799,KG Kurt Geiger Women's Heels Brown Suedette Autumn Slouch Knee,https://www.shoeaholics.com/women/shoes/boots/heeled/autumn-slouch-knee-brown-suedette-kg-kurt-geiger-6321630799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Autumn Slouch Knee Boot """", 5 Uk, Brown","Womens Kg Kurt Geiger Autumn Slouch Knee Boot """", 5 Uk, Brown",129.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6321630799.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,395,IN STOCK,,,Brown,,,67,TRUE,TRUE,TRUE
Kg Kurt Geiger,5856700829,5856700829,KG Kurt Geiger Women's Trainers Black Synthetic Lillian,https://www.shoeaholics.com/women/shoes/trainers/slip-on/lillian-bling2-black-polyurethane-kg-kurt-geiger-5856700829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Crystal Sneaker, Black","Black Crystal Sneaker, Black",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5856700829.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,01/09/2026,,FALSE,,127,IN STOCK,,,Black,,,606,TRUE,TRUE,TRUE
Steve Madden,5837561109,5837561109,Steve Madden Bondst Gold,https://www.shoeaholics.com/women/shoes/sandals/bondst-977-gold-leather-steve-madden-5837561109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Bondst Gold """", 4 Uk, Gold","Womens Steve Madden Bondst Gold """", 4 Uk, Gold",49.00,90.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5837561109.jpg?v=1&width=800,Women > Shoes > Sandals,Women > Shoes > Sandals,01/09/2026,,FALSE,,14,IN STOCK,,,Metallic,,,1574,TRUE,TRUE,TRUE
Carvela,6343461069,6343461069,Carvela Women's Clutch Bag Gold Fabric Palio,https://www.shoeaholics.com/women/bags/clutch-bags/palio-hard-clutch-gold-fabric-other-carvela-6343461069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Palio Hard Clutch Bag """", No Size, Gold","Womens Carvela Palio Hard Clutch Bag """", No Size, Gold",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6343461069.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,01/09/2026,,FALSE,,192,IN STOCK,,,Metallic,,,366,TRUE,TRUE,TRUE
Carvela,6330000979,6330000979,Carvela Women's Tote Bag Black Synthetic Cappuccino Tote,https://www.shoeaholics.com/women/bags/tote-bags/cappuccino-tote-black-synthetic-carvela-6330000979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Tote Bag, Black","Black Tote Bag, Black",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6330000979.jpg?v=1&width=800,Women > Bags > Tote-bags,Women > Bags > Tote-bags,01/09/2026,,FALSE,,433,IN STOCK,,,Black,,,52,TRUE,TRUE,TRUE
Carvela,5871030229,5871030229,Carvela Women's Tote Bag Nylon Marcela Nylon,https://www.shoeaholics.com/women/bags/tote-bags/marcela-nylon-tote-brown-nylon-carvela-5871030229?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Nylon Tote Bag, Brown","Brown Nylon Tote Bag, Brown",69.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5871030229.jpg?v=1&width=800,Women > Bags > Tote-bags,Women > Bags > Tote-bags,01/09/2026,,FALSE,,70,IN STOCK,,,Brown,,,868,TRUE,TRUE,TRUE
Kurt Geiger London,6309061609,6309061609,Kurt Geiger Women's Ankle Boot Gold Fabric Brixton,https://www.shoeaholics.com/women/shoes/boots/ankle/brixton-ankle-boot-gold-fabric-kurt-geiger-london-6309061609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Brixton Ankle Boot """", 6 Uk, Gold","Womens Kurt Geiger London Brixton Ankle Boot """", 6 Uk, Gold",129.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6309061609.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,151,IN STOCK,,,Metallic,,,505,TRUE,TRUE,TRUE
