prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,4261500969,4261500969,4261500969,Steve Madden Rejoice Black Embellished,https://www.shoeaholics.com/women/shoes/flats/rejoice-mr-001-black-jewelled-steve-madden-4261500969?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Rejoice Black Embellished """", 5 Uk, Black","Womens Steve Madden Rejoice Black Embellished """", 5 Uk, Black",69.00,120.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/2/4261500969.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,7,IN STOCK,,,Black,,,140,TRUE,TRUE,TRUE
Kurt Geiger London,5088430209,5088430209,5088430209,Kurt Geiger London Kingsley Pointed Flat,https://www.shoeaholics.com/women/shoes/flats/kingsley-pointed-flat-brown-suede-kurt-geiger-london-5088430209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Kingsley Pointed Flat """", 6 Uk, Brown","Womens Kurt Geiger London Kingsley Pointed Flat """", 6 Uk, Brown",99.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5088430209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,114,IN STOCK,,,Brown,,,53,TRUE,TRUE,TRUE
Carvela,5149730209,5149730209,5149730209,Carvela Women's Brown Suede Snap Chunky,https://www.shoeaholics.com/women/shoes/flats/snap-chunky-brown-suede-carvela-5149730209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Snap Chunky Loafer """", 6 Uk, Brown","Womens Carvela Snap Chunky Loafer """", 6 Uk, Brown",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5149730209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,128,IN STOCK,,,Brown,,,48,TRUE,TRUE,TRUE
Kg Kurt Geiger,4267300109,4267300109,4267300109,KG Kurt Geiger Women's Flats Black Leather Slip On Marty,https://www.shoeaholics.com/women/shoes/flats/marty-black-leather-kg-kurt-geiger-4267300109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Marty Loafer """", 3 Uk, Black","Womens Kg Kurt Geiger Marty Loafer """", 3 Uk, Black",49.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/2/4267300109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,9,IN STOCK,,,Black,,,134,TRUE,TRUE,TRUE
Kg Kurt Geiger,5138200109,5138200109,5138200109,KG Kurt Geiger Women's Flats Black Leather Molly,https://www.shoeaholics.com/women/shoes/flats/molly-black-leather-kg-kurt-geiger-5138200109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Molly Loafer """", 6 Uk, Black","Womens Kg Kurt Geiger Molly Loafer """", 6 Uk, Black",79.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5138200109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,230,IN STOCK,,,Black,,,14,TRUE,TRUE,TRUE
Steve Madden,4924100449,4924100449,4924100449,Steve Madden Alara Black,https://www.shoeaholics.com/women/shoes/flats/alara-001-black-raffia-steve-madden-4924100449?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Alara Black """", 6 Uk, Black","Womens Steve Madden Alara Black """", 6 Uk, Black",89.00,130.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/9/4924100449.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,60,IN STOCK,,,Black,,,73,TRUE,TRUE,TRUE
Carvela,5149754109,5149754109,5149754109,Carvela Women's Flats Wine Leather Snap,https://www.shoeaholics.com/women/shoes/flats/snap-chunky-wine-leather-carvela-5149754109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Patent Wine Leather Slip On Loafer, Wine","Patent Wine Leather Slip On Loafer, Wine",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5149754109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,327,IN STOCK,,,Red,,,4,TRUE,TRUE,TRUE
Kg Kurt Geiger,5139000109,5139000109,5139000109,KG Kurt Geiger Women's Loafers Black Leather Tasha,https://www.shoeaholics.com/women/shoes/flats/tasha-loafer2-black-leather-kg-kurt-geiger-5139000109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Horsebit Chain Loafer, Black","Black Leather Horsebit Chain Loafer, Black",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5139000109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,377,IN STOCK,,,Black,,,3,TRUE,TRUE,TRUE
Kg Kurt Geiger,5139347829,5139347829,5139347829,KG Kurt Geiger Women's Taupe Loafer Suede Needed,https://www.shoeaholics.com/women/shoes/flats/needed-taupe-polyurethane-kg-kurt-geiger-5139347829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Beige Suede Slip On Loafer, Taupe","Beige Suede Slip On Loafer, Taupe",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5139347829.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,213,IN STOCK,,,Taupe,,,18,TRUE,TRUE,TRUE
Steve Madden,5144831209,5144831209,5144831209,Steve Madden Sianna Dark Brown,https://www.shoeaholics.com/women/shoes/flats/shay-brow-dark-brown-suede-steve-madden-5144831209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Sianna Dark Brown """", 4 Uk, Dark Brown","Womens Steve Madden Sianna Dark Brown """", 4 Uk, Dark Brown",120.00,120.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5144831209.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,23,IN STOCK,,,Brown,,,100,TRUE,TRUE,FALSE
